"","Individual","Collective","Mean_800","Mean_1250","Mean_2000","Jewish_segment","JLR_station","Damascus_Gate_dis","With_settlements","con800"
"100",0,0,241.596567831925,350.756479981221,597.172474666667,1,0,4625.10824262992,0,75
"101",0,0,178.527971661765,303.285550529412,465.082911919117,1,0,4358.72536003877,0,62
"102",0,0,128.520671476191,208.484687190476,243.783587142857,1,0,4135.86031167171,0,45
"103",0,0,175.096085326923,263.179247846154,293.365974692308,1,0,3963.86017905635,0,61
"104",0,0,96.3194530655738,184.986195065574,411.672181393443,0,0,3849.54903321014,0,35
"105",1,0,318.130970240384,646.809889673077,1386.33046270192,0,1,3798.13917796128,0,84
"106",0,0,222.44667422807,381.771557491228,818.754364666667,0,0,3812.17626183527,0,72
"107",0,0,65.5739475588235,178.351012341176,498.232130735294,1,0,3890.95202105952,0,24
"108",0,0,133.092755309231,246.107492255385,395.6230202,0,0,4030.6724603536,0,47
"109",0,12,267.346718044776,464.404950686567,632.89203777612,1,0,4225.29600634334,0,79
"110",0,0,158.3659528744,291.87932104,457.673790072,1,0,4467.65320077594,0,55
"111",0,0,227.636747593431,380.502846832117,574.459277773723,1,0,4912.48074174261,0,73
"112",0,0,214.693601116475,349.348961609196,604.961455084292,1,0,4554.04667502922,0,70
"113",0,0,148.806703194845,284.374663235052,579.993336546392,1,0,4224.47729498479,0,52
"114",0,0,17.0007453333333,25.7878386666667,43.0711886666667,1,0,3931.03917024213,0,6
"115",0,0,190.409170994737,295.29893277193,349.875140666667,1,0,3682.38004012131,0,65
"116",0,2,342.854307104072,393.940480701357,409.160981384615,1,0,3488.08970991087,0,86
"117",0,0,239.122402820513,297.035761179487,407.295623794872,1,0,3357.61971372377,0,75
"118",1,302,262.63110312766,435.850780776596,823.61489712766,0,0,3298.55175649287,0,78
"119",0,0,378.614218132653,652.813655489796,1280.00038907143,0,1,3314.70518042869,0,88
"120",0,14,172.001498044565,277.901139336957,618.298257673913,0,0,3405.00959372738,0,60
"121",0,1,222.153051015385,274.700396646853,451.327481433567,0,0,3563.83267308705,0,72
"122",0,16,129.304523855102,206.58794474898,367.657614882653,0,0,3782.55328195079,0,45
"123",0,0,272.574817918182,518.727848727273,814.375941522727,0,0,4051.48223209863,0,79
"124",0,0,19.21143336,18.44175235,17.19796608,1,0,5853.74915086751,0,8
"125",0,0,25.9358113318182,26.0168026545455,27.0043343409091,1,0,5419.71159794412,0,12
"126",0,0,23.9627497153846,32.4560701076923,41.8915092538462,1,0,4998.01576245534,0,10
"127",0,0,NA,NA,NA,1,0,4592.0629847992,0,NA
"128",0,0,261.2506743,444.959087388889,685.480575861111,1,0,4206.41373866354,0,77
"129",0,0,63.11758213125,136.63019361875,450.95907175,1,0,3847.17868768139,0,24
"130",0,0,36.6780965,89.4568198666666,289.585444727273,1,0,3522.44864067784,0,15
"131",0,0,91.65758539375,228.73279625,784.31325675,1,0,3242.60670907998,0,33
"132",0,1,220.091615675556,294.659675273333,344.054208777778,1,0,3020.15651720958,0,71
"133",0,0,174.43878530625,251.379246245833,286.4611418125,1,0,2868.48144019079,0,60
"134",0,0,75.2741790142857,206.556679390476,389.370150652381,0,0,2799.11046587815,0,28
"135",4,1,276.51176822766,715.063781255319,1704.01840791489,1,1,2818.12814378609,1,80
"136",1,1,142.906653536697,257.906071330275,620.604768495413,1,0,2923.81022626956,0,50
"137",3,13,206.484482535088,325.115245442105,567.023952807017,0,0,3107.32671992411,0,69
"138",0,0,147.684699719512,274.184209926829,467.448252695122,0,0,3355.9328781474,0,52
"139",0,0,292.355226327731,455.142466815126,773.210524428571,0,0,3656.3758792861,0,82
"140",0,0,1.6664255,1.8618913,2.504879,1,0,6092.12985959119,0,1
"141",0,0,37.5276738636364,59.2408081090909,116.883040063636,1,0,5632.13528555912,0,16
"142",0,1,51.7365086208333,101.312629808333,190.623050925,1,0,5179.56007113446,0,21
"143",0,0,26.5532423434783,38.9828761869565,56.8567688173913,1,0,4736.53145982092,0,12
"144",0,0,9.4402422375,13.1885284875,22.97832405,1,0,4305.99711535494,0,3
"145",0,0,8.33093985714286,11.3708382,29.5757909571429,1,0,3892.1055028534,0,2
"146",0,0,40.0028405630435,88.5919219695652,287.440154395652,1,0,3500.76456982603,0,17
"147",0,0,111.724613549057,179.278430833962,621.171122811321,1,0,3140.4160821412,0,40
